home_code,home_team,home_accent,home_accent_hex,away_code,away_team,away_accent,away_accent_hex,banner,banner_hex,background_hex
ANA,Anaheim Ducks,Ducks Orange,#F47A38,VGK,Vegas Golden Knights,Knights Gold,#B4975A,Steel Gray,#333F42,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,WPG,Winnipeg Jets,Jets Navy,#041E42,Jets Red,#C8102E,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,WSH,Washington Capitals,Caps Red,#C8102E,Caps Navy,#041E42,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,ANA,Anaheim Ducks,Ducks Orange,#F47A38,Black,#000000,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,BUF,Buffalo Sabres,Sabres Royal,#003087,Black,#000000,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,Black,#000000,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,CBJ,Columbus Blue Jackets,Union Blue,#002654,Goal Red,#CE1126,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,CGY,Calgary Flames,Flames Red,#C8102E,Black,#000000,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,Black,#000000,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,COL,Colorado Avalanche,Burgundy,#6F263D,Steel Blue,#236192,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,DAL,Dallas Stars,Victory Green,#006847,Black,#000000,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,DET,Detroit Red Wings,Wings Red,#CE1126,Black,#000000,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,EDM,Edmonton Oilers,Oilers Orange,#FF4C00,Oilers Navy,#041E42,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,FLA,Florida Panthers,Panthers Red,#C8102E,Panthers Navy,#041E42,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,LAK,Los Angeles Kings,Kings Black,#111111,Deep Navy,#0A1628,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,MIN,Minnesota Wild,Forest Green,#154734,Iron Range Red,#A6192E,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,MTL,Montreal Canadiens,Habs Red,#AF1E2D,Habs Blue,#192168,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,NJD,New Jersey Devils,Devils Red,#CE1126,Black,#000000,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,NSH,Nashville Predators,Preds Navy,#041E42,Black,#000000,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,NYI,New York Islanders,Isles Orange,#F47D30,Isles Royal,#00539B,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,NYR,New York Rangers,Rangers Blue,#0038A8,Rangers Red,#CE1126,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,OTT,Ottawa Senators,Sens Red,#C52032,Black,#000000,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,PHI,Philadelphia Flyers,Flyers Orange,#F74902,Black,#000000,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,PIT,Pittsburgh Penguins,Black,#000000,Deep Navy,#0A1628,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,SEA,Seattle Kraken,Ice Blue,#99D9D9,Deep Sea Blue,#001628,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,SJS,San Jose Sharks,Sharks Teal,#006D75,Black,#000000,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,STL,St. Louis Blues,Blues Blue,#002F87,Black,#000000,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,TBL,Tampa Bay Lightning,Bolts Blue,#002868,Black,#000000,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,TOR,Toronto Maple Leafs,Leafs Blue,#00205B,Black,#000000,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,UTA,Utah Mammoth,Mountain Blue,#7AB2E0,Black,#000000,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,VAN,Vancouver Canucks,Canucks Blue,#00205B,Canucks Green,#00843D,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,VGK,Vegas Golden Knights,Steel Gray,#333F42,Black,#000000,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,WPG,Winnipeg Jets,Jets Navy,#041E42,Jets Red,#C8102E,#000000
BOS,Boston Bruins,Bruins Gold,#FFB81C,WSH,Washington Capitals,Caps Red,#C8102E,Caps Navy,#041E42,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,ANA,Anaheim Ducks,Ducks Orange,#F47A38,Black,#000000,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,BOS,Boston Bruins,Bruins Gold,#FFB81C,Black,#000000,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,Black,#000000,#000000
BUF,Buffalo Sabres,Sabres Gold,#FFB81C,CBJ,Columbus Blue Jackets,Union Blue,#002654,Sabres Royal,#003087,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,CGY,Calgary Flames,Flames Red,#C8102E,Black,#000000,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,Black,#000000,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,COL,Colorado Avalanche,Burgundy,#6F263D,Steel Blue,#236192,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,DAL,Dallas Stars,Victory Green,#006847,Black,#000000,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,DET,Detroit Red Wings,Wings Red,#CE1126,Black,#000000,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,EDM,Edmonton Oilers,Oilers Orange,#FF4C00,Oilers Navy,#041E42,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,FLA,Florida Panthers,Panthers Red,#C8102E,Panthers Navy,#041E42,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,LAK,Los Angeles Kings,Kings Black,#111111,Deep Navy,#0A1628,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,MIN,Minnesota Wild,Forest Green,#154734,Iron Range Red,#A6192E,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,MTL,Montreal Canadiens,Habs Red,#AF1E2D,Habs Blue,#192168,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,NJD,New Jersey Devils,Devils Red,#CE1126,Black,#000000,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,NSH,Nashville Predators,Preds Gold,#FFB81C,Preds Navy,#041E42,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,NYI,New York Islanders,Isles Orange,#F47D30,Isles Royal,#00539B,#000000
BUF,Buffalo Sabres,Sabres Gold,#FFB81C,NYR,New York Rangers,Rangers Blue,#0038A8,Sabres Royal,#003087,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,OTT,Ottawa Senators,Sens Red,#C52032,Black,#000000,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,PHI,Philadelphia Flyers,Flyers Orange,#F74902,Black,#000000,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,PIT,Pittsburgh Penguins,Vegas Gold,#FCB514,Black,#000000,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,SEA,Seattle Kraken,Ice Blue,#99D9D9,Deep Sea Blue,#001628,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,SJS,San Jose Sharks,Sharks Teal,#006D75,Black,#000000,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,STL,St. Louis Blues,Blues Gold,#FCB514,Blues Blue,#002F87,#000000
BUF,Buffalo Sabres,Sabres Gold,#FFB81C,TBL,Tampa Bay Lightning,Bolts Blue,#002868,Sabres Royal,#003087,#000000
BUF,Buffalo Sabres,Sabres Gold,#FFB81C,TOR,Toronto Maple Leafs,Leafs Blue,#00205B,Sabres Royal,#003087,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,UTA,Utah Mammoth,Mountain Blue,#7AB2E0,Black,#000000,#000000
BUF,Buffalo Sabres,Sabres Gold,#FFB81C,VAN,Vancouver Canucks,Canucks Blue,#00205B,Sabres Royal,#003087,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,VGK,Vegas Golden Knights,Knights Gold,#B4975A,Steel Gray,#333F42,#000000
BUF,Buffalo Sabres,Sabres Gold,#FFB81C,WPG,Winnipeg Jets,Jets Navy,#041E42,Sabres Royal,#003087,#000000
BUF,Buffalo Sabres,Sabres Royal,#003087,WSH,Washington Capitals,Caps Red,#C8102E,Caps Navy,#041E42,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,ANA,Anaheim Ducks,Ducks Orange,#F47A38,Black,#000000,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,BOS,Boston Bruins,Bruins Gold,#FFB81C,Black,#000000,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,BUF,Buffalo Sabres,Sabres Royal,#003087,Black,#000000,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,CBJ,Columbus Blue Jackets,Union Blue,#002654,Goal Red,#CE1126,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,CGY,Calgary Flames,Flames Yellow,#F1BE48,Flames Red,#C8102E,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,CHI,Chicago Blackhawks,Black,#000000,Blackhawks Red,#CF0A2C,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,COL,Colorado Avalanche,Steel Blue,#236192,Burgundy,#6F263D,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,DAL,Dallas Stars,Victory Green,#006847,Black,#000000,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,DET,Detroit Red Wings,White,#FFFFFF,Wings Red,#CE1126,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,EDM,Edmonton Oilers,Oilers Orange,#FF4C00,Oilers Navy,#041E42,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,FLA,Florida Panthers,Panthers Navy,#041E42,Panthers Red,#C8102E,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,LAK,Los Angeles Kings,Kings Black,#111111,Deep Navy,#0A1628,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,MIN,Minnesota Wild,Forest Green,#154734,Iron Range Red,#A6192E,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,MTL,Montreal Canadiens,Habs Blue,#192168,Habs Red,#AF1E2D,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,NJD,New Jersey Devils,Black,#000000,Devils Red,#CE1126,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,NSH,Nashville Predators,Preds Gold,#FFB81C,Preds Navy,#041E42,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,NYI,New York Islanders,Isles Orange,#F47D30,Isles Royal,#00539B,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,NYR,New York Rangers,Rangers Blue,#0038A8,Rangers Red,#CE1126,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,OTT,Ottawa Senators,Black,#000000,Sens Red,#C52032,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,PHI,Philadelphia Flyers,Flyers Orange,#F74902,Black,#000000,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,PIT,Pittsburgh Penguins,Vegas Gold,#FCB514,Black,#000000,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,SEA,Seattle Kraken,Ice Blue,#99D9D9,Deep Sea Blue,#001628,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,SJS,San Jose Sharks,Sharks Teal,#006D75,Black,#000000,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,STL,St. Louis Blues,Blues Blue,#002F87,Black,#000000,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,TBL,Tampa Bay Lightning,Bolts Blue,#002868,Black,#000000,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,TOR,Toronto Maple Leafs,Leafs Blue,#00205B,Black,#000000,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,UTA,Utah Mammoth,Mountain Blue,#7AB2E0,Black,#000000,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,VAN,Vancouver Canucks,Canucks Blue,#00205B,Canucks Green,#00843D,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,VGK,Vegas Golden Knights,Knights Gold,#B4975A,Steel Gray,#333F42,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,WPG,Winnipeg Jets,Jets Navy,#041E42,Jets Red,#C8102E,#000000
CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,WSH,Washington Capitals,Caps Navy,#041E42,Caps Red,#C8102E,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,ANA,Anaheim Ducks,Ducks Orange,#F47A38,Goal Red,#CE1126,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,BOS,Boston Bruins,Bruins Gold,#FFB81C,Goal Red,#CE1126,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,BUF,Buffalo Sabres,Sabres Gold,#FFB81C,Sabres Royal,#003087,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,Goal Red,#CE1126,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,CGY,Calgary Flames,Flames Red,#C8102E,Goal Red,#CE1126,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,Goal Red,#CE1126,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,COL,Colorado Avalanche,Burgundy,#6F263D,Goal Red,#CE1126,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,DAL,Dallas Stars,Victory Green,#006847,Goal Red,#CE1126,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,DET,Detroit Red Wings,Wings Red,#CE1126,Black,#000000,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,EDM,Edmonton Oilers,Oilers Orange,#FF4C00,Oilers Navy,#041E42,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,FLA,Florida Panthers,Panthers Red,#C8102E,Panthers Navy,#041E42,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,LAK,Los Angeles Kings,Kings Black,#111111,Goal Red,#CE1126,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,MIN,Minnesota Wild,Forest Green,#154734,Iron Range Red,#A6192E,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,MTL,Montreal Canadiens,Habs Red,#AF1E2D,Habs Blue,#192168,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,NJD,New Jersey Devils,Devils Red,#CE1126,Black,#000000,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,NSH,Nashville Predators,Preds Gold,#FFB81C,Preds Navy,#041E42,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,NYI,New York Islanders,Isles Orange,#F47D30,Isles Royal,#00539B,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,NYR,New York Rangers,Rangers Red,#CE1126,Rangers Blue,#0038A8,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,OTT,Ottawa Senators,Sens Red,#C52032,Goal Red,#CE1126,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,PHI,Philadelphia Flyers,Flyers Orange,#F74902,Goal Red,#CE1126,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,PIT,Pittsburgh Penguins,Vegas Gold,#FCB514,Goal Red,#CE1126,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,SEA,Seattle Kraken,Ice Blue,#99D9D9,Deep Sea Blue,#001628,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,SJS,San Jose Sharks,Sharks Teal,#006D75,Goal Red,#CE1126,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,STL,St. Louis Blues,Blues Gold,#FCB514,Blues Blue,#002F87,#000000
CBJ,Columbus Blue Jackets,Goal Red,#CE1126,TBL,Tampa Bay Lightning,Bolts Blue,#002868,Union Blue,#002654,#000000
CBJ,Columbus Blue Jackets,Goal Red,#CE1126,TOR,Toronto Maple Leafs,Leafs Blue,#00205B,Union Blue,#002654,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,UTA,Utah Mammoth,Mountain Blue,#7AB2E0,Goal Red,#CE1126,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,VAN,Vancouver Canucks,Canucks Green,#00843D,Canucks Blue,#00205B,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,VGK,Vegas Golden Knights,Knights Gold,#B4975A,Steel Gray,#333F42,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,WPG,Winnipeg Jets,Jets Red,#C8102E,Jets Navy,#041E42,#000000
CBJ,Columbus Blue Jackets,Union Blue,#002654,WSH,Washington Capitals,Caps Red,#C8102E,Caps Navy,#041E42,#000000
CGY,Calgary Flames,Flames Red,#C8102E,ANA,Anaheim Ducks,Ducks Orange,#F47A38,Black,#000000,#000000
CGY,Calgary Flames,Flames Red,#C8102E,BOS,Boston Bruins,Bruins Gold,#FFB81C,Black,#000000,#000000
CGY,Calgary Flames,Flames Red,#C8102E,BUF,Buffalo Sabres,Sabres Royal,#003087,Black,#000000,#000000
CGY,Calgary Flames,Flames Yellow,#F1BE48,CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,Flames Red,#C8102E,#000000
CGY,Calgary Flames,Flames Red,#C8102E,CBJ,Columbus Blue Jackets,Union Blue,#002654,Goal Red,#CE1126,#000000
CGY,Calgary Flames,Flames Yellow,#F1BE48,CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,Flames Red,#C8102E,#000000
CGY,Calgary Flames,Flames Red,#C8102E,COL,Colorado Avalanche,Steel Blue,#236192,Burgundy,#6F263D,#000000
CGY,Calgary Flames,Flames Red,#C8102E,DAL,Dallas Stars,Victory Green,#006847,Black,#000000,#000000
CGY,Calgary Flames,Flames Yellow,#F1BE48,DET,Detroit Red Wings,Wings Red,#CE1126,Flames Red,#C8102E,#000000
CGY,Calgary Flames,Flames Red,#C8102E,EDM,Edmonton Oilers,Oilers Orange,#FF4C00,Oilers Navy,#041E42,#000000
CGY,Calgary Flames,Flames Red,#C8102E,FLA,Florida Panthers,Panthers Navy,#041E42,Black,#000000,#000000
CGY,Calgary Flames,Flames Red,#C8102E,LAK,Los Angeles Kings,Kings Black,#111111,Deep Navy,#0A1628,#000000
CGY,Calgary Flames,Flames Red,#C8102E,MIN,Minnesota Wild,Forest Green,#154734,Iron Range Red,#A6192E,#000000
CGY,Calgary Flames,Flames Red,#C8102E,MTL,Montreal Canadiens,Habs Blue,#192168,Habs Red,#AF1E2D,#000000
CGY,Calgary Flames,Flames Yellow,#F1BE48,NJD,New Jersey Devils,Devils Red,#CE1126,Flames Red,#C8102E,#000000
CGY,Calgary Flames,Flames Red,#C8102E,NSH,Nashville Predators,Preds Gold,#FFB81C,Preds Navy,#041E42,#000000
CGY,Calgary Flames,Flames Red,#C8102E,NYI,New York Islanders,Isles Orange,#F47D30,Isles Royal,#00539B,#000000
CGY,Calgary Flames,Flames Red,#C8102E,NYR,New York Rangers,Rangers Blue,#0038A8,Rangers Red,#CE1126,#000000
CGY,Calgary Flames,Flames Yellow,#F1BE48,OTT,Ottawa Senators,Sens Red,#C52032,Flames Red,#C8102E,#000000
CGY,Calgary Flames,Flames Red,#C8102E,PHI,Philadelphia Flyers,Flyers Orange,#F74902,Black,#000000,#000000
CGY,Calgary Flames,Flames Red,#C8102E,PIT,Pittsburgh Penguins,Vegas Gold,#FCB514,Black,#000000,#000000
CGY,Calgary Flames,Flames Red,#C8102E,SEA,Seattle Kraken,Ice Blue,#99D9D9,Deep Sea Blue,#001628,#000000
CGY,Calgary Flames,Flames Red,#C8102E,SJS,San Jose Sharks,Sharks Teal,#006D75,Black,#000000,#000000
CGY,Calgary Flames,Flames Red,#C8102E,STL,St. Louis Blues,Blues Blue,#002F87,Black,#000000,#000000
CGY,Calgary Flames,Flames Red,#C8102E,TBL,Tampa Bay Lightning,Bolts Blue,#002868,Black,#000000,#000000
CGY,Calgary Flames,Flames Red,#C8102E,TOR,Toronto Maple Leafs,Leafs Blue,#00205B,Black,#000000,#000000
CGY,Calgary Flames,Flames Red,#C8102E,UTA,Utah Mammoth,Mountain Blue,#7AB2E0,Black,#000000,#000000
CGY,Calgary Flames,Flames Red,#C8102E,VAN,Vancouver Canucks,Canucks Blue,#00205B,Canucks Green,#00843D,#000000
CGY,Calgary Flames,Flames Red,#C8102E,VGK,Vegas Golden Knights,Knights Gold,#B4975A,Steel Gray,#333F42,#000000
CGY,Calgary Flames,Flames Red,#C8102E,WPG,Winnipeg Jets,Jets Navy,#041E42,Black,#000000,#000000
CGY,Calgary Flames,Flames Red,#C8102E,WSH,Washington Capitals,Caps Navy,#041E42,Black,#000000,#000000
CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,ANA,Anaheim Ducks,Ducks Orange,#F47A38,Black,#000000,#000000
CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,BOS,Boston Bruins,Bruins Gold,#FFB81C,Black,#000000,#000000
CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,BUF,Buffalo Sabres,Sabres Royal,#003087,Black,#000000,#000000
CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,CAR,Carolina Hurricanes,Black,#000000,Hurricanes Red,#CC0000,#000000
CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,CBJ,Columbus Blue Jackets,Union Blue,#002654,Goal Red,#CE1126,#000000
CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,CGY,Calgary Flames,Flames Yellow,#F1BE48,Flames Red,#C8102E,#000000
CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,COL,Colorado Avalanche,Steel Blue,#236192,Burgundy,#6F263D,#000000
CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,DAL,Dallas Stars,Victory Green,#006847,Black,#000000,#000000
CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,DET,Detroit Red Wings,White,#FFFFFF,Wings Red,#CE1126,#000000
CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,EDM,Edmonton Oilers,Oilers Orange,#FF4C00,Oilers Navy,#041E42,#000000
CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,FLA,Florida Panthers,Panthers Navy,#041E42,Panthers Red,#C8102E,#000000
CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,LAK,Los Angeles Kings,Kings Black,#111111,Deep Navy,#0A1628,#000000
CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,MIN,Minnesota Wild,Forest Green,#154734,Iron Range Red,#A6192E,#000000
CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,MTL,Montreal Canadiens,Habs Blue,#192168,Habs Red,#AF1E2D,#000000
CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,NJD,New Jersey Devils,Black,#000000,Devils Red,#CE1126,#000000
CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,NSH,Nashville Predators,Preds Gold,#FFB81C,Preds Navy,#041E42,#000000
CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,NYI,New York Islanders,Isles Orange,#F47D30,Isles Royal,#00539B,#000000
CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,NYR,New York Rangers,Rangers Blue,#0038A8,Rangers Red,#CE1126,#000000
